MENU,RESTO YANG MENYEDIAKAN MENU
Yakitori,"Nikkou Ramen, Pakualaman"
Gyoza,"Nikkou Ramen, Pakualaman"
Onigiri,"Nikkou Ramen, Pakualaman"
Miso Soup,"Nikkou Ramen, Pakualaman"
Nabe,"Nikkou Ramen, Pakualaman"
Shabu-Shabu,"Nikkou Ramen, Pakualaman"
Sukiyaki,"Nikkou Ramen, Pakualaman"
Teriyaki,"Nikkou Ramen, Pakualaman"
Unagi,"Nikkou Ramen, Pakualaman"
Tamagoyaki,"Nikkou Ramen, Pakualaman"
Mochi,"Nikkou Ramen, Pakualaman"
Rice,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Snacks,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Sushi,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Sashimi,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Tempura,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Ramen,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Udon,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Soba,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Okonomiyaki,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Takoyaki,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Tonkatsu,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Yakitori,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Gyoza,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Onigiri,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Miso Soup,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Nabe,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Shabu-Shabu,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Sukiyaki,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Teriyaki,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Unagi,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Tamagoyaki,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Mochi,"d'Sushi & Takoyaki, Rejodadi Sidorejo"
Snacks,"Wangoen Zuppa Soup, Umbulharjo"
Burger,"Wangoen Zuppa Soup, Umbulharjo"
Steak,"Wangoen Zuppa Soup, Umbulharjo"
Pizza,"Wangoen Zuppa Soup, Umbulharjo"
Pasta,"Wangoen Zuppa Soup, Umbulharjo"
Fish and Chips,"Wangoen Zuppa Soup, Umbulharjo"
Caesar Salad,"Wangoen Zuppa Soup, Umbulharjo"
French Fries,"Wangoen Zuppa Soup, Umbulharjo"
Chicken Wings,"Wangoen Zuppa Soup, Umbulharjo"
Grilled Cheese Sandwich,"Wangoen Zuppa Soup, Umbulharjo"
Tacos,"Wangoen Zuppa Soup, Umbulharjo"
Lasagna,"Wangoen Zuppa Soup, Umbulharjo"
Ribs,"Wangoen Zuppa Soup, Umbulharjo"
Nachos,"Wangoen Zuppa Soup, Umbulharjo"
Mac and Cheese,"Wangoen Zuppa Soup, Umbulharjo"
Quesadilla,"Wangoen Zuppa Soup, Umbulharjo"
Hot Dog,"Wangoen Zuppa Soup, Umbulharjo"
Meatloaf,"Wangoen Zuppa Soup, Umbulharjo"
Buffalo Wings,"Wangoen Zuppa Soup, Umbulharjo"
Chicken Parmesan,"Wangoen Zuppa Soup, Umbulharjo"
Clam Chowder,"Wangoen Zuppa Soup, Umbulharjo"
Snacks,"Burgerax, Prawirotaman"
Burger,"Burgerax, Prawirotaman"
Steak,"Burgerax, Prawirotaman"
Pizza,"Burgerax, Prawirotaman"
Pasta,"Burgerax, Prawirotaman"
Fish and Chips,"Burgerax, Prawirotaman"
Caesar Salad,"Burgerax, Prawirotaman"
French Fries,"Burgerax, Prawirotaman"
Chicken Wings,"Burgerax, Prawirotaman"
Grilled Cheese Sandwich,"Burgerax, Prawirotaman"
Tacos,"Burgerax, Prawirotaman"
Lasagna,"Burgerax, Prawirotaman"
Ribs,"Burgerax, Prawirotaman"
Nachos,"Burgerax, Prawirotaman"
Mac and Cheese,"Burgerax, Prawirotaman"
Quesadilla,"Burgerax, Prawirotaman"
Hot Dog,"Burgerax, Prawirotaman"
Meatloaf,"Burgerax, Prawirotaman"
Buffalo Wings,"Burgerax, Prawirotaman"
Chicken Parmesan,"Burgerax, Prawirotaman"
Clam Chowder,"Burgerax, Prawirotaman"
Fast food,"Burgerax, Prawirotaman"
Sweets,"Kedai Jagoan Moy-Moy, Tamsis"
Dimsum,"Kedai Jagoan Moy-Moy, Tamsis"
Bebek Peking,"Kedai Jagoan Moy-Moy, Tamsis"
Cow Mein,"Kedai Jagoan Moy-Moy, Tamsis"
Wonton Soup,"Kedai Jagoan Moy-Moy, Tamsis"
nasi hainan,"Kedai Jagoan Moy-Moy, Tamsis"
Spring Rolls,"Kedai Jagoan Moy-Moy, Tamsis"
Lo Mein,"Kedai Jagoan Moy-Moy, Tamsis"
Congee,"Kedai Jagoan Moy-Moy, Tamsis"
Bakpao,"Kedai Jagoan Moy-Moy, Tamsis"
Lumpia,"Kedai Jagoan Moy-Moy, Tamsis"
Capcay,"Kedai Jagoan Moy-Moy, Tamsis"
Kwetiau,"Kedai Jagoan Moy-Moy, Tamsis"
Fuyunghai,"Kedai Jagoan Moy-Moy, Tamsis"
Sapo Tahu,"Kedai Jagoan Moy-Moy, Tamsis"
 Bakmi,"Kedai Jagoan Moy-Moy, Tamsis"
Ayam Kungpao,"Kedai Jagoan Moy-Moy, Tamsis"
Angsio Tahu,"Kedai Jagoan Moy-Moy, Tamsis"
Ayam Koloke,"Kedai Jagoan Moy-Moy, Tamsis"
Siomay,"Kedai Jagoan Moy-Moy, Tamsis"
I Fu Mie,"Kedai Jagoan Moy-Moy, Tamsis"
nasi goreng seafood chinese,"Kedai Jagoan Moy-Moy, Tamsis"
Burger,"Waroeng Steak and Shake, Demangan"
Steak,"Waroeng Steak and Shake, Demangan"
Pizza,"Waroeng Steak and Shake, Demangan"
Pasta,"Waroeng Steak and Shake, Demangan"
Fish and Chips,"Waroeng Steak and Shake, Demangan"
Caesar Salad,"Waroeng Steak and Shake, Demangan"
French Fries,"Waroeng Steak and Shake, Demangan"
Chicken Wings,"Waroeng Steak and Shake, Demangan"
Grilled Cheese Sandwich,"Waroeng Steak and Shake, Demangan"
Tacos,"Waroeng Steak and Shake, Demangan"
Lasagna,"Waroeng Steak and Shake, Demangan"
Ribs,"Waroeng Steak and Shake, Demangan"
Nachos,"Waroeng Steak and Shake, Demangan"
Mac and Cheese,"Waroeng Steak and Shake, Demangan"
Quesadilla,"Waroeng Steak and Shake, Demangan"
Hot Dog,"Waroeng Steak and Shake, Demangan"
Meatloaf,"Waroeng Steak and Shake, Demangan"
Buffalo Wings,"Waroeng Steak and Shake, Demangan"
Chicken Parmesan,"Waroeng Steak and Shake, Demangan"
Clam Chowder,"Waroeng Steak and Shake, Demangan"
Burger,"Waroeng Steak and Shake, Jalan Bantul"
Steak,"Waroeng Steak and Shake, Jalan Bantul"
Pizza,"Waroeng Steak and Shake, Jalan Bantul"
Pasta,"Waroeng Steak and Shake, Jalan Bantul"
Fish and Chips,"Waroeng Steak and Shake, Jalan Bantul"
Caesar Salad,"Waroeng Steak and Shake, Jalan Bantul"
French Fries,"Waroeng Steak and Shake, Jalan Bantul"
Chicken Wings,"Waroeng Steak and Shake, Jalan Bantul"
Grilled Cheese Sandwich,"Waroeng Steak and Shake, Jalan Bantul"
Tacos,"Waroeng Steak and Shake, Jalan Bantul"
Lasagna,"Waroeng Steak and Shake, Jalan Bantul"
Ribs,"Waroeng Steak and Shake, Jalan Bantul"
Nachos,"Waroeng Steak and Shake, Jalan Bantul"
Mac and Cheese,"Waroeng Steak and Shake, Jalan Bantul"
Quesadilla,"Waroeng Steak and Shake, Jalan Bantul"
Hot Dog,"Waroeng Steak and Shake, Jalan Bantul"
Meatloaf,"Waroeng Steak and Shake, Jalan Bantul"
Buffalo Wings,"Waroeng Steak and Shake, Jalan Bantul"
Chicken Parmesan,"Waroeng Steak and Shake, Jalan Bantul"
Clam Chowder,"Waroeng Steak and Shake, Jalan Bantul"
Burger,"Spark Resto And Sports Bar, Prawirotaman"
Steak,"Spark Resto And Sports Bar, Prawirotaman"
Pizza,"Spark Resto And Sports Bar, Prawirotaman"
Pasta,"Spark Resto And Sports Bar, Prawirotaman"
Fish and Chips,"Spark Resto And Sports Bar, Prawirotaman"
Caesar Salad,"Spark Resto And Sports Bar, Prawirotaman"
French Fries,"Spark Resto And Sports Bar, Prawirotaman"
Chicken Wings,"Spark Resto And Sports Bar, Prawirotaman"
Grilled Cheese Sandwich,"Spark Resto And Sports Bar, Prawirotaman"
Tacos,"Spark Resto And Sports Bar, Prawirotaman"
Lasagna,"Spark Resto And Sports Bar, Prawirotaman"
Ribs,"Spark Resto And Sports Bar, Prawirotaman"
Nachos,"Spark Resto And Sports Bar, Prawirotaman"
Mac and Cheese,"Spark Resto And Sports Bar, Prawirotaman"
Quesadilla,"Spark Resto And Sports Bar, Prawirotaman"
Hot Dog,"Spark Resto And Sports Bar, Prawirotaman"
Meatloaf,"Spark Resto And Sports Bar, Prawirotaman"
Buffalo Wings,"Spark Resto And Sports Bar, Prawirotaman"
Chicken Parmesan,"Spark Resto And Sports Bar, Prawirotaman"
Clam Chowder,"Spark Resto And Sports Bar, Prawirotaman"
Beverages,"Spark Resto And Sports Bar, Prawirotaman"
Sate,"Spark Resto And Sports Bar, Prawirotaman"
Burger,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Steak,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Pizza,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Pasta,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Fish and Chips,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Caesar Salad,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
French Fries,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Chicken Wings,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Grilled Cheese Sandwich,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Tacos,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Lasagna,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Ribs,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Nachos,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Mac and Cheese,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Quesadilla,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Hot Dog,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Meatloaf,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Buffalo Wings,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Chicken Parmesan,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Clam Chowder,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Chicken & duck,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Rice,"Dapur Mamika, Jl Sisingamangaraja Gg Menur"
Burger,"Burgerax, Demangan Baru"
Steak,"Burgerax, Demangan Baru"
Pizza,"Burgerax, Demangan Baru"
Pasta,"Burgerax, Demangan Baru"
Fish and Chips,"Burgerax, Demangan Baru"
Caesar Salad,"Burgerax, Demangan Baru"
French Fries,"Burgerax, Demangan Baru"
Chicken Wings,"Burgerax, Demangan Baru"
Grilled Cheese Sandwich,"Burgerax, Demangan Baru"
Tacos,"Burgerax, Demangan Baru"
Lasagna,"Burgerax, Demangan Baru"
Ribs,"Burgerax, Demangan Baru"
Nachos,"Burgerax, Demangan Baru"
Mac and Cheese,"Burgerax, Demangan Baru"
Quesadilla,"Burgerax, Demangan Baru"
Hot Dog,"Burgerax, Demangan Baru"
Meatloaf,"Burgerax, Demangan Baru"
Buffalo Wings,"Burgerax, Demangan Baru"
Chicken Parmesan,"Burgerax, Demangan Baru"
Clam Chowder,"Burgerax, Demangan Baru"
Snacks,"Burgerax, Demangan Baru"
Fast food,"Burgerax, Demangan Baru"
Aneka nasi,"Pawon Mbokdis, Mantrigawen Lor"
Bakmie,"Pawon Mbokdis, Mantrigawen Lor"
Dimsum,"Pawon Mbokdis, Mantrigawen Lor"
Bebek Peking,"Pawon Mbokdis, Mantrigawen Lor"
Cow Mein,"Pawon Mbokdis, Mantrigawen Lor"
Wonton Soup,"Pawon Mbokdis, Mantrigawen Lor"
nasi hainan,"Pawon Mbokdis, Mantrigawen Lor"
Spring Rolls,"Pawon Mbokdis, Mantrigawen Lor"
Lo Mein,"Pawon Mbokdis, Mantrigawen Lor"
Congee,"Pawon Mbokdis, Mantrigawen Lor"
Bakpao,"Pawon Mbokdis, Mantrigawen Lor"
Lumpia,"Pawon Mbokdis, Mantrigawen Lor"
Capcay,"Pawon Mbokdis, Mantrigawen Lor"
Kwetiau,"Pawon Mbokdis, Mantrigawen Lor"
Fuyunghai,"Pawon Mbokdis, Mantrigawen Lor"
Sapo Tahu,"Pawon Mbokdis, Mantrigawen Lor"
 Bakmi,"Pawon Mbokdis, Mantrigawen Lor"
Ayam Kungpao,"Pawon Mbokdis, Mantrigawen Lor"
Angsio Tahu,"Pawon Mbokdis, Mantrigawen Lor"
Ayam Koloke,"Pawon Mbokdis, Mantrigawen Lor"
Siomay,"Pawon Mbokdis, Mantrigawen Lor"
I Fu Mie,"Pawon Mbokdis, Mantrigawen Lor"
nasi goreng seafood chinese,"Pawon Mbokdis, Mantrigawen Lor"
Aneka nasi,"Rm & Seafood 99, Sorowajan"
Bakmie,"Rm & Seafood 99, Sorowajan"
Dimsum,"Rm & Seafood 99, Sorowajan"
Bebek Peking,"Rm & Seafood 99, Sorowajan"
Cow Mein,"Rm & Seafood 99, Sorowajan"
Wonton Soup,"Rm & Seafood 99, Sorowajan"
nasi hainan,"Rm & Seafood 99, Sorowajan"
Spring Rolls,"Rm & Seafood 99, Sorowajan"
Lo Mein,"Rm & Seafood 99, Sorowajan"
Congee,"Rm & Seafood 99, Sorowajan"
Bakpao,"Rm & Seafood 99, Sorowajan"
Lumpia,"Rm & Seafood 99, Sorowajan"
Capcay,"Rm & Seafood 99, Sorowajan"
Kwetiau,"Rm & Seafood 99, Sorowajan"
Fuyunghai,"Rm & Seafood 99, Sorowajan"
Sapo Tahu,"Rm & Seafood 99, Sorowajan"
 Bakmi,"Rm & Seafood 99, Sorowajan"
Ayam Kungpao,"Rm & Seafood 99, Sorowajan"
Angsio Tahu,"Rm & Seafood 99, Sorowajan"
Ayam Koloke,"Rm & Seafood 99, Sorowajan"
Siomay,"Rm & Seafood 99, Sorowajan"
I Fu Mie,"Rm & Seafood 99, Sorowajan"
nasi goreng seafood chinese,"Rm & Seafood 99, Sorowajan"
Aneka nasi,"Pecel Lele, Rawon Dan Soto Lamongan Yuk In, Giwangan, Umbulharjo"
Bakso,"Pecel Lele, Rawon Dan Soto Lamongan Yuk In, Giwangan, Umbulharjo"
Soto,"Pecel Lele, Rawon Dan Soto Lamongan Yuk In, Giwangan, Umbulharjo"
Aneka nasi,"Ayam Geprek DBC, Beskalan"
Bakso,"Ayam Geprek DBC, Beskalan"
Soto,"Ayam Geprek DBC, Beskalan"
Ayam & bebek,"Ayam Geprek DBC, Beskalan"
Minuman,"Ayam Geprek DBC, Beskalan"
Aneka nasi,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Dimsum,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Bebek Peking,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Cow Mein,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Wonton Soup,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
nasi hainan,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Spring Rolls,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Lo Mein,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Congee,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Bakpao,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Lumpia,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Capcay,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Kwetiau,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Fuyunghai,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Sapo Tahu,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
 Bakmi,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Ayam Kungpao,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Angsio Tahu,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Ayam Koloke,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Siomay,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
I Fu Mie,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
nasi goreng seafood chinese,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Bakmie,"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli"
Ayam & bebek,"Soto Ayam 61, Gondomanan"
Bakso,"Soto Ayam 61, Gondomanan"
Soto,"Soto Ayam 61, Gondomanan"
Ayam & bebek,"Seblak Mang Cepot & Baso Aci Hoax, Umbulharjo"
Bakso,"Seblak Mang Cepot & Baso Aci Hoax, Umbulharjo"
Soto,"Seblak Mang Cepot & Baso Aci Hoax, Umbulharjo"
Cepat saji,"Seblak Mang Cepot & Baso Aci Hoax, Umbulharjo"
Bakery,"Buttersweet, Saman Utara"
Beverages,"Buttersweet, Saman Utara"
Burger,"Buttersweet, Saman Utara"
Steak,"Buttersweet, Saman Utara"
Pizza,"Buttersweet, Saman Utara"
Pasta,"Buttersweet, Saman Utara"
Fish and Chips,"Buttersweet, Saman Utara"
Caesar Salad,"Buttersweet, Saman Utara"
French Fries,"Buttersweet, Saman Utara"
Chicken Wings,"Buttersweet, Saman Utara"
Grilled Cheese Sandwich,"Buttersweet, Saman Utara"
Tacos,"Buttersweet, Saman Utara"
Lasagna,"Buttersweet, Saman Utara"
Ribs,"Buttersweet, Saman Utara"
Nachos,"Buttersweet, Saman Utara"
Mac and Cheese,"Buttersweet, Saman Utara"
Quesadilla,"Buttersweet, Saman Utara"
Hot Dog,"Buttersweet, Saman Utara"
Meatloaf,"Buttersweet, Saman Utara"
Buffalo Wings,"Buttersweet, Saman Utara"
Chicken Parmesan,"Buttersweet, Saman Utara"
Clam Chowder,"Buttersweet, Saman Utara"
Bakso,"Bakso Lontong Djeng Thathit, Suryodiningratan"
Soto,"Bakso Lontong Djeng Thathit, Suryodiningratan"
Bakso,"Bakso Urat Arema Soringin, Langensari"
Soto,"Bakso Urat Arema Soringin, Langensari"
Bakso,"Bakso Urat Cak Ari, Mataram"
Soto,"Bakso Urat Cak Ari, Mataram"
Bakso,"Soto Daging Lamongan Cak Ngun, Jl. Veteran No 212 Umbulharjo"
Soto,"Soto Daging Lamongan Cak Ngun, Jl. Veteran No 212 Umbulharjo"
Beverages,"Agenda Resto & Vibes, Arkadia"
Pizza & pasta,"Agenda Resto & Vibes, Arkadia"
Burger,"Agenda Resto & Vibes, Arkadia"
Steak,"Agenda Resto & Vibes, Arkadia"
Pizza,"Agenda Resto & Vibes, Arkadia"
Pasta,"Agenda Resto & Vibes, Arkadia"
Fish and Chips,"Agenda Resto & Vibes, Arkadia"
Caesar Salad,"Agenda Resto & Vibes, Arkadia"
French Fries,"Agenda Resto & Vibes, Arkadia"
Chicken Wings,"Agenda Resto & Vibes, Arkadia"
Grilled Cheese Sandwich,"Agenda Resto & Vibes, Arkadia"
Tacos,"Agenda Resto & Vibes, Arkadia"
Lasagna,"Agenda Resto & Vibes, Arkadia"
Ribs,"Agenda Resto & Vibes, Arkadia"
Nachos,"Agenda Resto & Vibes, Arkadia"
Mac and Cheese,"Agenda Resto & Vibes, Arkadia"
Quesadilla,"Agenda Resto & Vibes, Arkadia"
Hot Dog,"Agenda Resto & Vibes, Arkadia"
Meatloaf,"Agenda Resto & Vibes, Arkadia"
Buffalo Wings,"Agenda Resto & Vibes, Arkadia"
Chicken Parmesan,"Agenda Resto & Vibes, Arkadia"
Clam Chowder,"Agenda Resto & Vibes, Arkadia"
Cepat saji,Raja Sate & Soto
Sate,Raja Sate & Soto
Bakso,Raja Sate & Soto
Soto,Raja Sate & Soto
Chicken & duck,CHICKATS
Rice,CHICKATS
Sushi,CHICKATS
Sashimi,CHICKATS
Tempura,CHICKATS
Ramen,CHICKATS
Udon,CHICKATS
Soba,CHICKATS
Okonomiyaki,CHICKATS
Takoyaki,CHICKATS
Tonkatsu,CHICKATS
Yakitori,CHICKATS
Gyoza,CHICKATS
Onigiri,CHICKATS
Miso Soup,CHICKATS
Nabe,CHICKATS
Shabu-Shabu,CHICKATS
Sukiyaki,CHICKATS
Teriyaki,CHICKATS
Unagi,CHICKATS
Tamagoyaki,CHICKATS
Mochi,CHICKATS
Dimsum,Chinese Food / Sea Food Kondang
Bebek Peking,Chinese Food / Sea Food Kondang
Cow Mein,Chinese Food / Sea Food Kondang
Wonton Soup,Chinese Food / Sea Food Kondang
nasi hainan,Chinese Food / Sea Food Kondang
Spring Rolls,Chinese Food / Sea Food Kondang
Lo Mein,Chinese Food / Sea Food Kondang
Congee,Chinese Food / Sea Food Kondang
Bakpao,Chinese Food / Sea Food Kondang
Lumpia,Chinese Food / Sea Food Kondang
Capcay,Chinese Food / Sea Food Kondang
Kwetiau,Chinese Food / Sea Food Kondang
Fuyunghai,Chinese Food / Sea Food Kondang
Sapo Tahu,Chinese Food / Sea Food Kondang
 Bakmi,Chinese Food / Sea Food Kondang
Ayam Kungpao,Chinese Food / Sea Food Kondang
Angsio Tahu,Chinese Food / Sea Food Kondang
Ayam Koloke,Chinese Food / Sea Food Kondang
Siomay,Chinese Food / Sea Food Kondang
I Fu Mie,Chinese Food / Sea Food Kondang
nasi goreng seafood chinese,Chinese Food / Sea Food Kondang
Ayam & bebek,Chinese Food / Sea Food Kondang
Seafood,Chinese Food / Sea Food Kondang
Coffee,Suguhand Cafe
Burger,Suguhand Cafe
Steak,Suguhand Cafe
Pizza,Suguhand Cafe
Pasta,Suguhand Cafe
Fish and Chips,Suguhand Cafe
Caesar Salad,Suguhand Cafe
French Fries,Suguhand Cafe
Chicken Wings,Suguhand Cafe
Grilled Cheese Sandwich,Suguhand Cafe
Tacos,Suguhand Cafe
Lasagna,Suguhand Cafe
Ribs,Suguhand Cafe
Nachos,Suguhand Cafe
Mac and Cheese,Suguhand Cafe
Quesadilla,Suguhand Cafe
Hot Dog,Suguhand Cafe
Meatloaf,Suguhand Cafe
Buffalo Wings,Suguhand Cafe
Chicken Parmesan,Suguhand Cafe
Clam Chowder,Suguhand Cafe
Pizza & pasta,Suguhand Cafe
Fast food,"HokBen, Kaliurang"
Sushi,"HokBen, Kaliurang"
Sashimi,"HokBen, Kaliurang"
Tempura,"HokBen, Kaliurang"
Ramen,"HokBen, Kaliurang"
Udon,"HokBen, Kaliurang"
Soba,"HokBen, Kaliurang"
Okonomiyaki,"HokBen, Kaliurang"
Takoyaki,"HokBen, Kaliurang"
Tonkatsu,"HokBen, Kaliurang"
Yakitori,"HokBen, Kaliurang"
Gyoza,"HokBen, Kaliurang"
Onigiri,"HokBen, Kaliurang"
Miso Soup,"HokBen, Kaliurang"
Nabe,"HokBen, Kaliurang"
Shabu-Shabu,"HokBen, Kaliurang"
Sukiyaki,"HokBen, Kaliurang"
Teriyaki,"HokBen, Kaliurang"
Unagi,"HokBen, Kaliurang"
Tamagoyaki,"HokBen, Kaliurang"
Mochi,"HokBen, Kaliurang"
Fast food,"Pop Mart, Laksda Adi Sucipto (Korner)"
Burger,"Pop Mart, Laksda Adi Sucipto (Korner)"
Steak,"Pop Mart, Laksda Adi Sucipto (Korner)"
Pizza,"Pop Mart, Laksda Adi Sucipto (Korner)"
Pasta,"Pop Mart, Laksda Adi Sucipto (Korner)"
Fish and Chips,"Pop Mart, Laksda Adi Sucipto (Korner)"
Caesar Salad,"Pop Mart, Laksda Adi Sucipto (Korner)"
French Fries,"Pop Mart, Laksda Adi Sucipto (Korner)"
Chicken Wings,"Pop Mart, Laksda Adi Sucipto (Korner)"
Grilled Cheese Sandwich,"Pop Mart, Laksda Adi Sucipto (Korner)"
Tacos,"Pop Mart, Laksda Adi Sucipto (Korner)"
Lasagna,"Pop Mart, Laksda Adi Sucipto (Korner)"
Ribs,"Pop Mart, Laksda Adi Sucipto (Korner)"
Nachos,"Pop Mart, Laksda Adi Sucipto (Korner)"
Mac and Cheese,"Pop Mart, Laksda Adi Sucipto (Korner)"
Quesadilla,"Pop Mart, Laksda Adi Sucipto (Korner)"
Hot Dog,"Pop Mart, Laksda Adi Sucipto (Korner)"
Meatloaf,"Pop Mart, Laksda Adi Sucipto (Korner)"
Buffalo Wings,"Pop Mart, Laksda Adi Sucipto (Korner)"
Chicken Parmesan,"Pop Mart, Laksda Adi Sucipto (Korner)"
Clam Chowder,"Pop Mart, Laksda Adi Sucipto (Korner)"
Coffee,"Pop Mart, Laksda Adi Sucipto (Korner)"
Jajanan,"Tahu Walik & Soto Warisan, Masjid Umbulharjo"
Cepat saji,"Tahu Walik & Soto Warisan, Masjid Umbulharjo"
Bakso,"Tahu Walik & Soto Warisan, Masjid Umbulharjo"
Soto,"Tahu Walik & Soto Warisan, Masjid Umbulharjo"
Sushi,"HokBen Kitchen, Brontokusuman Parangtritis"
Sashimi,"HokBen Kitchen, Brontokusuman Parangtritis"
Tempura,"HokBen Kitchen, Brontokusuman Parangtritis"
Ramen,"HokBen Kitchen, Brontokusuman Parangtritis"
Udon,"HokBen Kitchen, Brontokusuman Parangtritis"
Soba,"HokBen Kitchen, Brontokusuman Parangtritis"
Okonomiyaki,"HokBen Kitchen, Brontokusuman Parangtritis"
Takoyaki,"HokBen Kitchen, Brontokusuman Parangtritis"
Tonkatsu,"HokBen Kitchen, Brontokusuman Parangtritis"
Yakitori,"HokBen Kitchen, Brontokusuman Parangtritis"
Gyoza,"HokBen Kitchen, Brontokusuman Parangtritis"
Onigiri,"HokBen Kitchen, Brontokusuman Parangtritis"
Miso Soup,"HokBen Kitchen, Brontokusuman Parangtritis"
Nabe,"HokBen Kitchen, Brontokusuman Parangtritis"
Shabu-Shabu,"HokBen Kitchen, Brontokusuman Parangtritis"
Sukiyaki,"HokBen Kitchen, Brontokusuman Parangtritis"
Teriyaki,"HokBen Kitchen, Brontokusuman Parangtritis"
Unagi,"HokBen Kitchen, Brontokusuman Parangtritis"
Tamagoyaki,"HokBen Kitchen, Brontokusuman Parangtritis"
Mochi.,"HokBen Kitchen, Brontokusuman Parangtritis"
Fast food,"HokBen Kitchen, Brontokusuman Parangtritis"
Sushi,"Hakata Ikkousha, Demangan Baru"
Sashimi,"Hakata Ikkousha, Demangan Baru"
Tempura,"Hakata Ikkousha, Demangan Baru"
Ramen,"Hakata Ikkousha, Demangan Baru"
Udon,"Hakata Ikkousha, Demangan Baru"
Soba,"Hakata Ikkousha, Demangan Baru"
